round,well,condition_id,ligand_id,metal,base,solvent,source_catalyst_plate,source_base_plate,source_solvent_plate,substrate_uL,catalyst_ligand_premix_uL,base_uL,makeup_solvent_uL,total_uL,substrate_stock_mM,catalyst_metal_equivalent_mM,ligand_stock_mM,base_stock_mM,simulated_substrate_nmol,source_premix_load_uL,source_base_load_uL,source_solvent_load_uL,predicted_yield_pct,predicted_ee_abs_pct,chemistry_approved,provenance
0,A1,3524,L19,[Rh(COD)Cl]2,DIPEA,ethanol,A1,A1,A1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,B1,7489,L40,CuI,DBU,acetonitrile,B1,B1,B1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,C1,6346,L34,CuI,triethylamine,toluene,C1,C1,C1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,D1,2146,L12,Cu(OAc)2,DBU,toluene,D1,D1,D1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,E1,2890,L16,CuI,triethylamine,toluene,E1,E1,E1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,F1,5024,L27,Cu(OAc)2,DBU,ethanol,F1,F1,F1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,G1,4269,L23,Cu(OAc)2,pyridine,acetonitrile,G1,G1,G1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,H1,8100,L43,Cu(OAc)2,DIPEA,ethanol,H1,H1,H1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,A2,4099,L22,[Rh(COD)Cl]2,DBU,DMF,A2,A2,A2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,B2,5837,L31,[Rh(COD)Cl]2,pyridine,acetonitrile,B2,B2,B2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,C2,772,L05,CuI,DIPEA,ethanol,C2,C2,C2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,D2,6567,L35,Cu(OAc)2,DIPEA,DMF,D2,D2,D2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,E2,3073,L17,CuI,DBU,acetonitrile,E2,E2,E2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,F2,8714,L46,[Rh(COD)Cl]2,triethylamine,toluene,F2,F2,F2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,G2,1801,L10,[Rh(COD)Cl]2,triethylamine,acetonitrile,G2,G2,G2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,H2,2346,L13,Cu(OAc)2,triethylamine,toluene,H2,H2,H2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,A3,8943,L47,[Ir(COD)Cl]2,pyridine,DMF,A3,A3,A3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,B3,687,L04,[Ir(COD)Cl]2,pyridine,DMF,B3,B3,B3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,C3,1363,L08,CuI,DABCO,DMF,C3,C3,C3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,D3,5605,L30,Cu(OAc)2,DIPEA,acetonitrile,D3,D3,D3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,E3,7691,L41,CuI,triethylamine,DMF,E3,E3,E3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,F3,2496,L14,CuI,DBU,ethanol,F3,F3,F3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,G3,43,L01,Cu(OAc)2,triethylamine,DMF,G3,G3,G3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
0,H3,4864,L26,[Rh(COD)Cl]2,DBU,ethanol,H3,H3,H3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,,,False,simulation_plan
