scenario,time_h,S,P2,P4,P6,D,relay,theta,evidence_layer
surface_on,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.05,0.9643991635467665,0.02159244520891192,0.011532328691123417,0.0012269977406598766,0.001249064812538344,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.1,0.9300657464647865,0.04238920772910916,0.022639690491683302,0.0024090869575371142,0.002496268356883974,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.15000000000000002,0.896954628092297,0.06241864789403517,0.03333723239795061,0.0035478676386906404,0.003741623977026655,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.2,0.8650222930602738,0.08170811699751387,0.04363956248730856,0.004644882846940342,0.004985144607963366,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.25,0.8342267757699502,0.10028399219359369,0.05356076855794209,0.005701620688749366,0.006226842789764647,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.30000000000000004,0.8045276049488864,0.11817171134701557,0.06311443674215607,0.006719516280320885,0.007466730681621119,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.35000000000000003,0.7758857491501427,0.13539580729087405,0.07231366980308047,0.0076999536802515,0.008704820075651182,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.4,0.7482635674993114,0.15197993878562416,0.08117110366959471,0.008644267636090396,0.009941122409379293,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.45,0.721624758716829,0.16794692256219687,0.08969892455026422,0.009553745392058678,0.011175648778651279,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.5,0.6959343135729598,0.18331876320743648,0.09790888489488082,0.010429628375042846,0.01240840994968008,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.55,0.6711584700115992,0.19811668137199384,0.10581231846004215,0.01127311378594927,0.013639416370415472,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.6000000000000001,0.6472646670780298,0.21236114273002066,0.11342015577626101,0.012085356233471657,0.014868678182216858,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.65,0.6242215034436006,0.2260718840493688,0.12074293807182196,0.012867469204847054,0.016096205230361534,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.7000000000000001,0.6019986959296099,0.23926793926229123,0.12779083119690554,0.013620526536640143,0.017322007074553246,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.75,0.5805670387263209,0.251967665099201,0.13457363931434596,0.014345563860877366,0.018546092999254693,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.8,0.559898366538761,0.2641887642541678,0.14110081727211235,0.01504357991193348,0.019768472023025306,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.8500000000000001,0.5399655164419747,0.27594830936161363,0.14738148340904364,0.015715537879182093,0.02098915290818598,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.9,0.5207422923048203,0.2872627653584958,0.15342443149828752,0.016362366668563135,0.022208144169833223,1.0,0.5,synthetic_hypothetical_ODE
surface_on,0.9500000000000001,0.5022034312107467,0.2981480105912459,0.15923814202032446,0.016984962093335432,0.023425454084347385,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.0,0.484324568983612,0.308619358485253,0.1648307937364419,0.017584188096565367,0.024641090698127706,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.05,0.46708220915321147,0.318691577052244,0.17021027410744846,0.018160877851640004,0.025855061835455984,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.1,0.45045369192021095,0.32837890839803846,0.17538418971258868,0.01871583486280139,0.02706737510636045,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.1500000000000001,0.4344171636412217,0.33769508790335634,0.180359876493838,0.019249834047236007,0.028278037914347912,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.2000000000000002,0.41895154925214395,0.3466533615577146,0.18514440901377935,0.019763622712970403,0.02948705746339158,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.25,0.40403652372584387,0.3552665039003144,0.18974461003766788,0.020257921571010244,0.030694440765163537,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.3,0.3896524854517753,0.36354683475284794,0.194167059470271,0.02073342567932532,0.03190019464578045,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.35,0.37578053110987114,0.37150623501305075,0.19841810279106115,0.0211908053338463,0.03310432575217059,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.4000000000000001,0.36240242987476917,0.37915616286918685,0.20250385971422474,0.02163070698320843,0.03430684055861071,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.4500000000000002,0.3495006001938477,0.3865076683967097,0.20643023198460625,0.02205375405222543,0.035507745372610866,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.5,0.33705808656481534,0.3935714081552041,0.21020291117380213,0.02246054776537918,0.036707046340799285,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.55,0.32505853670250423,0.40035765954068564,0.21382738634559342,0.022851667956507865,0.03790474945470886,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.6,0.3134861809042635,0.40687633375592325,0.21730895098327715,0.023227673800529577,0.0391008605560065,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.6500000000000001,0.30232581069277775,0.41313698923495124,0.2206527101595762,0.02358910457078916,0.04029538534190565,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.7000000000000002,0.2915627588970086,0.41914884416361836,0.22386358722375066,0.02393648034540773,0.04148832937021458,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.75,0.28118288085124304,0.4249207882973273,0.22694633011334522,0.0242703026739831,0.042679698064101254,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.8,0.2711725350930545,0.4304613950937428,0.22990551783415805,0.024591055262059167,0.0438694967169854,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.85,0.261518565987154,0.4357789326349406,0.23274556629366142,0.024899204587301396,0.04505773049694253,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.9000000000000001,0.25220828634890613,0.44088137454976695,0.2354707341345346,0.02519520051568416,0.0462444044511081,1.0,0.5,synthetic_hypothetical_ODE
surface_on,1.9500000000000002,0.2432294603590726,0.44577641075314095,0.23808512847042754,0.02547947690735085,0.04742952351000804,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.0,0.2345702881236874,0.45047145715127385,0.24059271006943034,0.02575245216413602,0.04861309249147235,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.0500000000000003,0.2262193896932563,0.454973665686742,0.24299729871905537,0.026014529796260375,0.04979511610468586,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.1,0.2181657901580515,0.459289933707157,0.24530257822995882,0.02626609895086642,0.05097559895396623,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.15,0.21039890558004343,0.4634269128079492,0.24751210115879108,0.02650753491088607,0.05215454554233018,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.2,0.2029085285498893,0.4673910179108308,0.24962929365692102,0.02673919960720416,0.05333196027515464,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.25,0.19568481518499362,0.47118843543644134,0.2516574598353721,0.02696144207972008,0.05450784746347281,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.3000000000000003,0.18871827212731776,0.4748251314771513,0.2535997861298422,0.027174598938418327,0.05568221132727037,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.35,0.18199974375910585,0.47830685983288984,0.2554593455925661,0.027378994816711535,0.056855055998726534,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.4000000000000004,0.17552040064960123,0.4816391692732069,0.2572391017709173,0.02757494278113133,0.0580263855251431,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.45,0.16927172759719616,0.48482741105363447,0.2589419127218275,0.027762744755365557,0.059196203871976175,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.5,0.16324551247678318,0.48787674592592095,0.26057053475588954,0.027942691915742227,0.06036451492566388,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.5500000000000003,0.15743383571313282,0.49079215075476346,0.2621276259712941,0.028115065064513976,0.061531322496295414,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.6,0.15182905947371428,0.4935784253108902,0.2636157498819527,0.028280135013091325,0.06269663032035129,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.6500000000000004,0.14642381793981707,0.49624019838635347,0.26503737868362054,0.028438162927038338,0.06386044206317038,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.7,0.1412110075774868,0.49878193390993975,0.2663948965200814,0.028589400671074877,0.06502276132141689,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.75,0.1361837775715175,0.5012079369600871,0.267690602694592,0.02873409114829668,0.06618359162550642,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.8000000000000003,0.1313355211805512,0.5035223591988209,0.2689267145720975,0.0288724686067321,0.06734293644179816,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.85,0.1266598667894538,0.5057292044959723,0.27010537058307604,0.029004758956633677,0.06850079917486414,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.9000000000000004,0.12215066956419458,0.5078323341746811,0.2712286330251138,0.0291311800664044,0.06965718316960587,1.0,0.5,synthetic_hypothetical_ODE
surface_on,2.95,0.11780200357515849,0.5098354719624558,0.2722984907072207,0.029251942041912813,0.07081209171325205,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.0,0.11360815371052693,0.5117422090741877,0.27331686166462293,0.029367247513252547,0.07196552803740978,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.0500000000000003,0.10956360839651326,0.5135560087880024,0.27428559560268306,0.02947729189288995,0.07311749531991117,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.1,0.10566305231745797,0.5152802110211981,0.2752064763408671,0.029582263633816705,0.07426799668665997,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.1500000000000004,0.1019013592579339,0.5169180368294913,0.27608122421575104,0.029682344483375867,0.0754170352134476,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.2,0.09827358563408224,0.5184725924730336,0.2769114982526429,0.029777709712647073,0.07656461392759409,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.25,0.09477496379843123,0.5199468736248078,0.27769889841324963,0.02986852835386427,0.07771073580964691,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.3000000000000003,0.09140089579554658,0.5213437692956477,0.2784449676919937,0.02995496342184654,0.0788554037949653,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.35,0.08814694746819304,0.5226660655389338,0.27915119409465783,0.03003717212299942,0.07999862077521577,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.4000000000000004,0.08500884240641186,0.5239164492540286,0.2798190126697652,0.03011530606988659,0.08114038959990771,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.45,0.0819824565003383,0.5250975116102181,0.2804498073372756,0.030189511474392333,0.08228071307777565,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.5,0.07906381249291386,0.52621175147072,0.2810449127173164,0.030259929340887746,0.08341959397816193,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.5500000000000003,0.07624907462389466,0.5272615787593048,0.2816056159282651,0.03032669565615949,0.08455703503237597,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.6,0.07353454378958565,0.5282493175027467,0.2821331582116943,0.030389941561050363,0.08569303893492299,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.6500000000000004,0.07091665253308041,0.5291772089798144,0.28262873661421906,0.03044979352811037,0.08682760834477579,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.7,0.068391960371842,0.530047414658218,0.2830935055560938,0.030506373527285295,0.08796074588656085,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.75,0.06595714938755812,0.5308620189666992,0.28352857831175987,0.030559799182304788,0.0890924541516781,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.8000000000000003,0.06360901969845639,0.5316230321410014,0.2839350285298531,0.030610183931238513,0.09022273569945063,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.85,0.0613444853833762,0.5323323927858813,0.28431389160155035,0.0306576371710326,0.09135159305815958,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.9000000000000004,0.05916057040576158,0.5329919704371681,0.2846661660289421,0.03070226440204886,0.09247902872607944,1.0,0.5,synthetic_hypothetical_ODE
surface_on,3.95,0.05705440460596794,0.533603568080883,0.2849928147704717,0.030744167370181527,0.09360504517249581,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.0,0.05502322007946737,0.5341689244297951,0.28529476645682245,0.030783444195289666,0.0947296448386255,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.05,0.05306434742822777,0.5346897162796943,0.2855729166493823,0.030820189504126967,0.09585283013856871,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.1000000000000005,0.05117521226451165,0.535167560707003,0.2858281290139676,0.030854494554320468,0.09697460346019733,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.15,0.04935333191092563,0.5356040171430281,0.2860612364286628,0.030886447351390043,0.0980949671659934,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.2,0.047596312012518745,0.5360005895034979,0.28627304212118654,0.03091613276888674,0.09921392359391004,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.25,0.04590184348691391,0.5363587281056207,0.2864643206927748,0.030943632656544102,0.1003314750581466,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.3,0.04426769947438042,0.5366798315851796,0.28663581914208464,0.030969025948431587,0.10144762384992378,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.3500000000000005,0.0426917323390229,0.5369652487814986,0.28678825787193685,0.030992388769295377,0.10256237223824614,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.4,0.04117187095872455,0.5372162804409052,0.2869223315991199,0.031013794530659618,0.10367572247059086,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.45,0.03970611792019042,0.537434180979843,0.28703871029605255,0.03103331403029297,0.10478767677362118,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.5,0.038292546902867645,0.5376201601292644,0.28713804006903904,0.031051015544977332,0.1058982373538516,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.55,0.03692930020971254,0.5377753844867179,0.2872209439872244,0.031066964918069272,0.10700740639827594,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.6000000000000005,0.03561458623214736,0.5379009791098014,0.28728802293364397,0.03108122564939515,0.10811518607501223,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.65,0.03434667716795473,0.5379980289506274,0.2873398563713579,0.031093858976176808,0.10922157853388326,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.7,0.03312390673912794,0.5380675802903155,0.2873770031096004,0.03110492395395884,0.1103265859069974,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.75,0.03194466794796998,0.5381106421494424,0.2874000020570886,0.03111447753617949,0.11143021030931965,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.800000000000001,0.030807411049256696,0.5381281875626804,0.28740937290279533,0.031122574646079773,0.11253245383918778,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.8500000000000005,0.029710641451390046,0.5381211548980717,0.2874056168205611,0.031129268251130594,0.11363331857884668,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.9,0.02865291775888074,0.5380904490874646,0.2873892171262596,0.031134609432448238,0.1147328065949469,1.0,0.5,synthetic_hypothetical_ODE
surface_on,4.95,0.027632849924711315,0.538036942787885,0.2873606398980751,0.031138647450313382,0.11583091993901519,1.0,0.5,synthetic_hypothetical_ODE
surface_on,5.0,0.02664909735345562,0.5379614775738593,0.2873203346133113,0.031141429811436316,0.11692766064793758,1.0,0.5,synthetic_hypothetical_ODE
