wavelength_nm,baseline_absorbance,D_delta_absorbance,L_delta_absorbance,synthetic_D_delta
250,0.0650143551296,0.000260057420519,-0.000260057420519,0.000180745173003
251,0.0654832203307,0.000261932881323,-0.000261932881323,0.000285990009676
252,0.0659910339416,0.000263964135766,-0.000263964135766,7.43315008064e-05
253,0.0665405359428,0.000266162143771,-0.000266162143771,0.000405739314782
254,0.0671346121172,0.000268538448469,-0.000268538448469,0.000332367922562
255,0.0677762975768,0.000271105190307,-0.000271105190307,0.000241900441785
256,0.0684687799745,0.000273875119898,-0.000273875119898,0.000242680187079
257,0.0692154023568,0.000276861609427,-0.000276861609427,0.000307245146205
258,0.0700196656095,0.000280078662438,-0.000280078662438,0.000253312632218
259,0.0708852304484,0.000283540921794,-0.000283540921794,0.000260950035677
260,0.0718159189042,0.000287263675617,-0.000287263675617,0.000359270457618
261,0.0728157152503,0.000291262861001,-0.000291262861001,0.000342733381578
262,0.0738887663211,0.000295555065284,-0.000295555065284,0.000289142271721
263,0.0750393811657,0.000300157524663,-0.000300157524663,0.000291609868344
264,0.0762720299841,0.000305088119936,-0.000305088119936,0.000321179752203
265,0.0775913422897,0.000310365369159,-0.000310365369159,0.000248963529707
266,0.0790021042455,0.000316008416982,-0.000316008416982,0.000275633390516
267,0.0805092551175,0.00032203702047,-0.00032203702047,0.000376863038491
268,0.0821178827935,0.000328471531174,-0.000328471531174,0.00031542325186
269,0.0838332183142,0.000335332873257,-0.000335332873257,0.000197890255689
270,0.0856606293674,0.000342642517469,-0.000342642517469,0.000294914645506
271,0.0876056126947,0.000350422450779,-0.000350422450779,0.000416084611308
272,0.0896737853683,0.000358695141473,-0.000358695141473,0.000335466864265
273,0.0918708748917,0.000367483499567,-0.000367483499567,0.000352610218543
274,0.0942027080896,0.000376810832358,-0.000376810832358,0.000440994495175
275,0.0966751987489,0.000386700794996,-0.000386700794996,0.000569161825487
276,0.0992943339839,0.000397177335936,-0.000397177335936,0.000325858468749
277,0.1020661593,0.0004082646372,-0.0004082646372,0.000543085318543
278,0.104996762337,0.00041998704935,-0.00041998704935,0.000296985771816
279,0.108092255285,0.000432369021142,-0.000432369021142,0.000449866783416
280,0.111358755958,0.000445435023831,-0.000445435023831,0.00032848207188
281,0.114802367538,0.000459209470152,-0.000459209470152,0.000594355288602
282,0.118429156999,0.000473716627995,-0.000473716627995,0.000557108927667
283,0.122245132222,0.000488980528886,-0.000488980528886,0.000602752207352
284,0.126256217839,0.000505024871356,-0.000505024871356,0.0004164715559
285,0.130468229841,0.000521872919364,-0.000521872919364,0.000590328421913
286,0.134886848992,0.000539547395968,-0.000539547395968,0.000487646062985
287,0.139517593115,0.000558070372462,-0.000558070372462,0.000512331841347
288,0.144365788314,0.000577463153257,-0.000577463153257,0.000628116861196
289,0.149436539207,0.000597746156826,-0.000597746156826,0.000685417974073
290,0.154734698266,0.000618938793063,-0.000618938793063,0.000639380814603
291,0.160264834362,0.000641059337446,-0.000641059337446,0.000578260627345
292,0.166031200619,0.000664124802478,-0.000664124802478,0.00058154315039
293,0.172037701713,0.00068815080685,-0.00068815080685,0.000832582509433
294,0.178287860722,0.00071315144289,-0.00071315144289,0.000772546033961
295,0.18478478571,0.000739139142838,-0.000739139142838,0.000811111936481
296,0.191531136144,0.000766124544575,-0.000766124544575,0.000984473358846
297,0.198529089359,0.000794116357434,-0.000794116357434,0.000712530062571
298,0.205780307196,0.000823121228782,-0.000823121228782,0.00107906700862
299,0.213285903021,0.000853143612084,-0.000853143612084,0.00116823442544
300,0.221046409296,0.000884185637183,-0.000884185637183,0.00104602694921
301,0.229061745894,0.000916246983575,-0.000916246983575,0.00099895763673
302,0.237331189365,0.00094932475746,-0.00094932475746,0.000882942561971
303,0.245853343345,0.000983413373381,-0.000983413373381,0.00108286193616
304,0.254626110317,0.00101850444127,-0.00101850444127,0.000974235226359
305,0.263646664932,0.00105458665973,-0.00105458665973,0.00105242158075
306,0.272911429101,0.0010916457164,-0.0010916457164,0.00106260239866
307,0.282416049057,0.00112966419623,-0.00112966419623,0.00115804719188
308,0.292155374611,0.00116862149844,-0.00116862149844,0.00129742926999
309,0.302123440782,0.00120849376313,-0.00120849376313,0.00115293535734
310,0.312313452018,0.00124925380807,-0.00124925380807,0.00115071342471
