node,input_mask,bias_v,conductance_scale,tau_s,eta_per_s
0,-0.283537562817,0.0618969217259,0.807360888205,0.0272555272696,6.66469705935
1,0.460129155638,0.0402817276852,1.08394789943,0.024762125558,9.1247089812
2,-0.371523737564,0.0194636753112,0.980361040686,0.0139247665008,6.47619508188
3,0.134099516729,0.0223450174487,0.922300316265,0.00783047164705,7.96141780872
4,-0.16685807537,0.00644843218609,0.912950400586,0.0153269093235,8.44815933692
5,0.548424315262,0.05841686195,1.17431094751,0.0114935605487,6.25787564262
6,0.916928801928,-0.037343151132,1.24308630201,0.03,9.29494768681
7,0.776790852633,0.0139042389177,0.806411915094,0.0185689745667,8.2715051619
8,0.2418709304,0.043994028662,1.09167088161,0.00948683298051,8.68041825391
9,-0.679451374664,-0.051133396773,0.878981660413,0.0064633040701,7.28400817406
10,0.894124166623,0.0161711584102,1.2801773201,0.0204387620717,7.55308225556
11,-0.952735142656,-0.0136033134259,1.25191009632,0.00484679429532,7.97104619634
12,-0.404581087158,0.0372450878053,1.08152248249,0.0126508951029,7.83183710947
13,-0.436773013799,-0.0605199895131,1.15163925825,0.00400056429649,8.98357964796
14,0.343651963445,0.0149540133448,1.00909221779,0.003,8.43219402518
15,-0.025273867855,0.0499910165981,1.19553715503,0.00861895450006,7.53111560076
16,-0.814222902485,0.0179687007308,0.96902832724,0.00587202534446,5.2100931802
17,-0.97428422451,-0.0250127226365,0.903287471988,0.0168702397557,9.64657394034
18,0.208631493547,0.0218114478291,0.8667395293,0.00440339780287,8.10855163841
19,-0.0170333353181,-0.022658602017,0.835799834106,0.00330208251376,7.02865011734
20,0.202764242681,0.0236029903774,1.01549010601,0.00533483823012,7.9997481255
21,0.128047727731,-0.0520317837981,0.958547236411,0.00711412111698,5.72329722757
22,0.780918216599,-0.0308011558126,1.09790837228,0.02249682628,10.2663428063
23,0.836793715741,-0.0654194270524,0.70770428942,0.00363458297589,10.7425225385
24,-0.623485677795,-0.0582526855452,0.968621140923,0.0104421017653,5.52891721809
