round,well,condition_id,ligand_id,metal,base,solvent,source_catalyst_plate,source_base_plate,source_solvent_plate,substrate_uL,catalyst_ligand_premix_uL,base_uL,makeup_solvent_uL,total_uL,substrate_stock_mM,catalyst_metal_equivalent_mM,ligand_stock_mM,base_stock_mM,simulated_substrate_nmol,source_premix_load_uL,source_base_load_uL,source_solvent_load_uL,predicted_yield_pct,predicted_ee_abs_pct,chemistry_approved,provenance
1,A1,5441,L29,[Rh(COD)Cl]2,DBU,acetonitrile,A1,A1,A1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,99.70321676450821,103.28910148288668,False,simulation_plan
1,B1,5448,L29,[Rh(COD)Cl]2,triethylamine,ethanol,B1,B1,B1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,99.32682841310641,102.31954904895122,False,simulation_plan
1,C1,5632,L30,[Rh(COD)Cl]2,DBU,ethanol,C1,C1,C1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,99.86761584321124,103.22178770893976,False,simulation_plan
1,D1,5504,L29,[Ru(p-cymene)Cl2]2,DBU,ethanol,D1,D1,D1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,94.62680087853263,98.02114862306034,False,simulation_plan
1,E1,6409,L34,[Rh(COD)Cl]2,triethylamine,acetonitrile,E1,E1,E1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,96.46329754520143,99.93077903763205,False,simulation_plan
1,F1,6017,L32,[Rh(COD)Cl]2,DBU,acetonitrile,F1,F1,F1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,97.21936186152409,100.63064805124651,False,simulation_plan
1,G1,5544,L29,Pd(OAc)2,triethylamine,ethanol,G1,G1,G1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,93.99001148192666,96.98930036079253,False,simulation_plan
1,H1,5636,L30,[Rh(COD)Cl]2,DIPEA,ethanol,H1,H1,H1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,97.94991509275289,101.1079221283287,False,simulation_plan
1,A2,5449,L29,[Rh(COD)Cl]2,triethylamine,acetonitrile,A2,A2,A2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,99.04913959491033,102.24552095404154,False,simulation_plan
1,B2,5633,L30,[Rh(COD)Cl]2,DBU,acetonitrile,B2,B2,B2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,99.2684389232953,102.8791641843184,False,simulation_plan
