round,well,condition_id,ligand_id,metal,base,solvent,source_catalyst_plate,source_base_plate,source_solvent_plate,substrate_uL,catalyst_ligand_premix_uL,base_uL,makeup_solvent_uL,total_uL,substrate_stock_mM,catalyst_metal_equivalent_mM,ligand_stock_mM,base_stock_mM,simulated_substrate_nmol,source_premix_load_uL,source_base_load_uL,source_solvent_load_uL,predicted_yield_pct,predicted_ee_abs_pct,chemistry_approved,provenance
2,A1,6208,L33,[Rh(COD)Cl]2,DBU,ethanol,A1,A1,A1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,96.5739428865933,98.84525586140926,False,simulation_plan
2,B1,5512,L29,[Ru(p-cymene)Cl2]2,triethylamine,ethanol,B1,B1,B1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.43473344114199,97.84597744352918,False,simulation_plan
2,C1,6400,L34,[Rh(COD)Cl]2,DBU,ethanol,C1,C1,C1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,96.24147356690146,98.53213546432464,False,simulation_plan
2,D1,6411,L34,[Rh(COD)Cl]2,triethylamine,DMF,D1,D1,D1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,93.58214169519327,96.16314067078905,False,simulation_plan
2,E1,5472,L29,[Ir(COD)Cl]2,DBU,ethanol,E1,E1,E1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,94.20815272456159,96.73817486644873,False,simulation_plan
2,F1,5056,L27,[Rh(COD)Cl]2,DBU,ethanol,F1,F1,F1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.87121415573085,98.19610664686816,False,simulation_plan
2,G1,5665,L30,[Ir(COD)Cl]2,DBU,acetonitrile,G1,G1,G1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,93.93970401737928,96.53377113443653,False,simulation_plan
2,H1,6210,L33,[Rh(COD)Cl]2,DBU,toluene,H1,H1,H1,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,94.46720699289665,96.01295072098519,False,simulation_plan
2,A2,6216,L33,[Rh(COD)Cl]2,triethylamine,ethanol,A2,A2,A2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.83919036823043,98.18974715969348,False,simulation_plan
2,B2,5088,L27,[Ir(COD)Cl]2,DBU,ethanol,B2,B2,B2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,92.99110645160978,95.66838452185748,False,simulation_plan
2,C2,5648,L30,[Rh(COD)Cl]2,DABCO,ethanol,C2,C2,C2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.20896919338131,97.6195422066441,False,simulation_plan
2,D2,5664,L30,[Ir(COD)Cl]2,DBU,ethanol,D2,D2,D2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,94.34508132435828,96.87205379689594,False,simulation_plan
2,E2,5680,L30,[Ir(COD)Cl]2,DABCO,ethanol,E2,E2,E2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,92.09493424310227,94.80404374782309,False,simulation_plan
2,F2,6865,L36,[Ru(p-cymene)Cl2]2,DABCO,acetonitrile,F2,F2,F2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,89.46594038158082,92.36627074480288,False,simulation_plan
2,G2,6032,L32,[Rh(COD)Cl]2,DABCO,ethanol,G2,G2,G2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,93.78125961199643,96.36081694118022,False,simulation_plan
2,H2,6244,L33,[Ir(COD)Cl]2,DIPEA,ethanol,H2,H2,H2,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,91.31828611410036,94.17291654240503,False,simulation_plan
2,A3,5704,L30,[Ru(p-cymene)Cl2]2,triethylamine,ethanol,A3,A3,A3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,95.47214658194846,97.86994159480905,False,simulation_plan
2,B3,5473,L29,[Ir(COD)Cl]2,DBU,acetonitrile,B3,B3,B3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,93.7537234726129,96.36175021320088,False,simulation_plan
2,C3,5066,L27,[Rh(COD)Cl]2,triethylamine,toluene,C3,C3,C3,16.0,10.0,10.0,44.0,80.0,6.25,0.5,1.0,20.0,100.0,50.0,50.0,100.0,93.58390489587362,94.58480503391198,False,simulation_plan
